"area","d21","d22","d23","d24","d25","d26","d27","d28","d29","d210","d211","d41","d42","d43","d5","d6","d7","d8","d9","min_station","min_park","aread21","aread22","aread23","aread24","aread25","aread26","aread27","aread28","aread29","aread210","aread211","d41d21","d41d22","d41d23","d41d24","d41d25","d41d26","d41d27","d41d28","d41d29","d41d210","d41d211","d42d21","d42d22","d42d23","d42d24","d42d25","d42d26","d42d27","d42d28","d42d29","d42d210","d42d211","d43d21","d43d22","d43d23","d43d24","d43d25","d43d26","d43d27","d43d28","d43d29","d43d210","d43d211","area_square","area2d21","area2d22","area2d23","area2d24","area2d25","area2d26","area2d27","area2d28","area2d29","area2d210","area2d211"
"47",130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,481.750221027371,104.359667369458,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16900,0,16900,0,0,0,0,0,0,0,0,0
"48",8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,347.44592847714,141.796277554624,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,64,0,0,0,0,0
"49",27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,641.788301685702,67.2716302301246,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,729
"50",19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,494.966051335474,205.869137767512,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,361,0,0,0,0,0,0,0,0
"51",22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,517.923805573124,112.236459841503,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,484,0,0,0,0,0,0
"52",9.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,134.055797473223,108.514880635839,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.49,0,0,0,86.49,0,0,0,0,0,0,0
"53",22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,258.858136386858,165.431065381603,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,484,0,0,0,0,0,0,0
"54",9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,293.707325095681,78.6548735193113,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,0,0,0,0,0,0,0,0,0
"55",46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,471.892681639094,237.529898786903,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0,2116,0,0,0,0
"56",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,291.75375606706,327.68226535079,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,400,0,0,0,0,0,0,0
"57",12.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,474.631032048936,153.326363198034,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.76,0,0,0,153.76,0,0,0,0,0,0,0
"58",8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,981.766492884638,82.7066593412238,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,64,0,0,0,0,0
"59",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,64.8846341695141,36.2178517324142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
"60",10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,437.828833521963,170.769159782595,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0
"61",66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,618.609912712853,172.008447027152,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,0,0,0,0,4356,0,0
"62",48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,448.610419791449,349.16476230174,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,0,0,2304,0
"63",36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,874.283167612633,200.411444612524,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,1296,0,0,0,0,0,0,0,0
"64",119.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,660.520496890378,136.182742184348,0,0,0,0,0,0,0,0,0,119.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14184.81,0,0,0,0,0,0,0,0,0,14184.81,0
"65",12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,377.844234830371,169.309299423345,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,144,0
"66",14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,171.279631525094,147.58257261393,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,196,0,0,0,0,0,0
"67",32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,943.477157985973,144.628438556553,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0,1024,0,0,0,0,0
